Team1,Team2,Winner,Margin,Ground,Date,Link
West Indies,Ireland,West Indies,9 wickets,Basseterre,"Jan 19, 2020",https://stats.espncricinfo.com/ci/engine/match/1203678.html
New Zealand,India,India,6 wickets,Auckland,"Jan 24, 2020",https://stats.espncricinfo.com/ci/engine/match/1187677.html
Pakistan,Bangladesh,Pakistan,5 wickets,Lahore,"Jan 24, 2020",https://stats.espncricinfo.com/ci/engine/match/1213058.html
Pakistan,Bangladesh,Pakistan,9 wickets,Lahore,"Jan 25, 2020",https://stats.espncricinfo.com/ci/engine/match/1213059.html
New Zealand,India,India,7 wickets,Auckland,"Jan 26, 2020",https://stats.espncricinfo.com/ci/engine/match/1187678.html
New Zealand,India,tied,,Hamilton,"Jan 29, 2020",https://stats.espncricinfo.com/ci/engine/match/1187679.html
New Zealand,India,tied,,Wellington,"Jan 31, 2020",https://stats.espncricinfo.com/ci/engine/match/1187680.html
New Zealand,India,India,7 runs,Mount Maunganui,"Feb 2, 2020",https://stats.espncricinfo.com/ci/engine/match/1187681.html
Qatar,Uganda,Qatar,40 runs,Doha,"Feb 12, 2020",https://stats.espncricinfo.com/ci/engine/match/1215133.html
South Africa,England,South Africa,1 run,East London,"Feb 12, 2020",https://stats.espncricinfo.com/ci/engine/match/1185313.html
Qatar,Uganda,Qatar,28 runs,Doha,"Feb 13, 2020",https://stats.espncricinfo.com/ci/engine/match/1215134.html
South Africa,England,England,2 runs,Durban,"Feb 14, 2020",https://stats.espncricinfo.com/ci/engine/match/1185314.html
Qatar,Uganda,Uganda,18 runs,Doha,"Feb 15, 2020",https://stats.espncricinfo.com/ci/engine/match/1215135.html
South Africa,England,England,5 wickets,Centurion,"Feb 16, 2020",https://stats.espncricinfo.com/ci/engine/match/1185315.html
Malaysia,Hong Kong,Malaysia,21 runs,Kuala Lumpur,"Feb 20, 2020",https://stats.espncricinfo.com/ci/engine/match/1215136.html
Malaysia,Hong Kong,Malaysia,35 runs,Kuala Lumpur,"Feb 21, 2020",https://stats.espncricinfo.com/ci/engine/match/1215137.html
South Africa,Australia,Australia,107 runs,Johannesburg,"Feb 21, 2020",https://stats.espncricinfo.com/ci/engine/match/1185316.html
Iran,U.A.E.,U.A.E.,10 wickets,Al Amerat,"Feb 23, 2020",https://stats.espncricinfo.com/ci/engine/match/1215152.html
Maldives,Qatar,Qatar,106 runs,Al Amerat,"Feb 23, 2020",https://stats.espncricinfo.com/ci/engine/match/1215151.html
Kuwait,Saudi Arabia,Kuwait,9 wickets,Al Amerat,"Feb 23, 2020",https://stats.espncricinfo.com/ci/engine/match/1215154.html
Oman,Bahrain,Oman,8 wickets,Al Amerat,"Feb 23, 2020",https://stats.espncricinfo.com/ci/engine/match/1215153.html
Malaysia,Hong Kong,Malaysia,8 runs,Kuala Lumpur,"Feb 23, 2020",https://stats.espncricinfo.com/ci/engine/match/1215138.html
South Africa,Australia,South Africa,12 runs,Gqeberha,"Feb 23, 2020",https://stats.espncricinfo.com/ci/engine/match/1185317.html
Iran,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,"Feb 24, 2020",https://stats.espncricinfo.com/ci/engine/match/1215155.html
Oman,Qatar,Qatar,34 runs,Al Amerat,"Feb 24, 2020",https://stats.espncricinfo.com/ci/engine/match/1215156.html
Malaysia,Hong Kong,Malaysia,13 runs,Kuala Lumpur,"Feb 24, 2020",https://stats.espncricinfo.com/ci/engine/match/1215139.html
Bahrain,Maldives,Bahrain,65 runs,Al Amerat,"Feb 24, 2020",https://stats.espncricinfo.com/ci/engine/match/1215158.html
Kuwait,U.A.E.,U.A.E.,47 runs,Al Amerat,"Feb 24, 2020",https://stats.espncricinfo.com/ci/engine/match/1215157.html
Oman,Maldives,Oman,10 wickets,Al Amerat,"Feb 25, 2020",https://stats.espncricinfo.com/ci/engine/match/1215159.html
Saudi Arabia,U.A.E.,U.A.E.,12 runs,Al Amerat,"Feb 25, 2020",https://stats.espncricinfo.com/ci/engine/match/1215160.html
Bahrain,Qatar,Bahrain,6 wickets,Al Amerat,"Feb 25, 2020",https://stats.espncricinfo.com/ci/engine/match/1215161.html
Iran,Kuwait,Kuwait,8 wickets,Al Amerat,"Feb 25, 2020",https://stats.espncricinfo.com/ci/engine/match/1215162.html
Malaysia,Hong Kong,Malaysia,6 wickets,Kuala Lumpur,"Feb 26, 2020",https://stats.espncricinfo.com/ci/engine/match/1215140.html
Bahrain,Kuwait,Kuwait,87 runs,Al Amerat,"Feb 26, 2020",https://stats.espncricinfo.com/ci/engine/match/1215163.html
Qatar,U.A.E.,U.A.E.,28 runs,Al Amerat,"Feb 26, 2020",https://stats.espncricinfo.com/ci/engine/match/1215164.html
South Africa,Australia,Australia,97 runs,Cape Town,"Feb 26, 2020",https://stats.espncricinfo.com/ci/engine/match/1185318.html
Kuwait,U.A.E.,U.A.E.,102 runs,Al Amerat,"Feb 27, 2020",https://stats.espncricinfo.com/ci/engine/match/1215165.html
Thailand,Singapore,Singapore,43 runs,Bangkok,"Feb 29, 2020",https://stats.espncricinfo.com/ci/engine/match/1217738.html
Malaysia,Nepal,Malaysia,22 runs,Bangkok,"Feb 29, 2020",https://stats.espncricinfo.com/ci/engine/match/1217739.html
Hong Kong,Nepal,Hong Kong,43 runs,Bangkok,"Mar 1, 2020",https://stats.espncricinfo.com/ci/engine/match/1217740.html
Thailand,Malaysia,Malaysia,8 wickets,Bangkok,"Mar 1, 2020",https://stats.espncricinfo.com/ci/engine/match/1217741.html
Malaysia,Singapore,Singapore,128 runs,Bangkok,"Mar 3, 2020",https://stats.espncricinfo.com/ci/engine/match/1217742.html
Thailand,Hong Kong,Hong Kong,8 wickets,Bangkok,"Mar 3, 2020",https://stats.espncricinfo.com/ci/engine/match/1217743.html
Thailand,Nepal,Nepal,9 wickets,Bangkok,"Mar 4, 2020",https://stats.espncricinfo.com/ci/engine/match/1217744.html
Hong Kong,Singapore,Singapore,16 runs,Bangkok,"Mar 4, 2020",https://stats.espncricinfo.com/ci/engine/match/1217745.html
Sri Lanka,West Indies,West Indies,25 runs,Pallekele,"Mar 4, 2020",https://stats.espncricinfo.com/ci/engine/match/1213874.html
Hong Kong,Malaysia,Hong Kong,6 wickets,Bangkok,"Mar 6, 2020",https://stats.espncricinfo.com/ci/engine/match/1217747.html
Afghanistan,Ireland,Afghanistan,11 runs,Greater Noida,"Mar 6, 2020",https://stats.espncricinfo.com/ci/engine/match/1216416.html
Sri Lanka,West Indies,West Indies,7 wickets,Pallekele,"Mar 6, 2020",https://stats.espncricinfo.com/ci/engine/match/1213875.html
Afghanistan,Ireland,Afghanistan,21 runs,Greater Noida,"Mar 8, 2020",https://stats.espncricinfo.com/ci/engine/match/1216417.html
Spain,Germany,Spain,9 wickets,Almeria,"Mar 8, 2020",https://stats.espncricinfo.com/ci/engine/match/1207081.html
Spain,Germany,Germany,58 runs,Almeria,"Mar 8, 2020",https://stats.espncricinfo.com/ci/engine/match/1207082.html
Bangladesh,Zimbabwe,Bangladesh,48 runs,Mirpur,"Mar 9, 2020",https://stats.espncricinfo.com/ci/engine/match/1214670.html
Afghanistan,Ireland,tied,,Greater Noida,"Mar 10, 2020",https://stats.espncricinfo.com/ci/engine/match/1216418.html
Bangladesh,Zimbabwe,Bangladesh,9 wickets,Mirpur,"Mar 11, 2020",https://stats.espncricinfo.com/ci/engine/match/1214671.html
Guernsey,Isle of Man,Guernsey,8 wickets,St Peter Port,"Aug 21, 2020",https://stats.espncricinfo.com/ci/engine/match/1229824.html
Luxembourg,Czech Rep.,Luxembourg,63 runs,Walferdange,"Aug 28, 2020",https://stats.espncricinfo.com/ci/engine/match/1229818.html
Luxembourg,Czech Rep.,Czech Rep.,5 wickets,Walferdange,"Aug 29, 2020",https://stats.espncricinfo.com/ci/engine/match/1229819.html
Luxembourg,Belgium,Belgium,37 runs,Walferdange,"Aug 29, 2020",https://stats.espncricinfo.com/ci/engine/match/1229820.html
Belgium,Czech Rep.,Belgium,46 runs,Walferdange,"Aug 29, 2020",https://stats.espncricinfo.com/ci/engine/match/1229821.html
Belgium,Czech Rep.,Belgium,87 runs,Walferdange,"Aug 30, 2020",https://stats.espncricinfo.com/ci/engine/match/1229822.html
Luxembourg,Belgium,Belgium,49 runs,Walferdange,"Aug 30, 2020",https://stats.espncricinfo.com/ci/engine/match/1229823.html
England,Pakistan,England,5 wickets,Manchester,"Aug 30, 2020",https://stats.espncricinfo.com/ci/engine/match/1198245.html
England,Pakistan,Pakistan,5 runs,Manchester,"Sep 1, 2020",https://stats.espncricinfo.com/ci/engine/match/1198246.html
England,Australia,England,2 runs,Southampton,"Sep 4, 2020",https://stats.espncricinfo.com/ci/engine/match/1198235.html
England,Australia,England,6 wickets,Southampton,"Sep 6, 2020",https://stats.espncricinfo.com/ci/engine/match/1198236.html
England,Australia,Australia,5 wickets,Southampton,"Sep 8, 2020",https://stats.espncricinfo.com/ci/engine/match/1198237.html
Bulgaria,Malta,Malta,57 runs,Sofia,"Sep 23, 2020",https://stats.espncricinfo.com/ci/engine/match/1233064.html
Bulgaria,Malta,Malta,8 wickets,Sofia,"Sep 23, 2020",https://stats.espncricinfo.com/ci/engine/match/1233065.html
Romania,Bulgaria,Bulgaria,33 runs,Ilfov County,"Oct 16, 2020",https://stats.espncricinfo.com/ci/engine/match/1235829.html
Romania,Bulgaria,Romania,52 runs,Ilfov County,"Oct 17, 2020",https://stats.espncricinfo.com/ci/engine/match/1235830.html
Romania,Bulgaria,Romania,34 runs,Ilfov County,"Oct 17, 2020",https://stats.espncricinfo.com/ci/engine/match/1235831.html
Romania,Bulgaria,Romania,6 wickets,Ilfov County,"Oct 18, 2020",https://stats.espncricinfo.com/ci/engine/match/1235832.html
Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Nov 7, 2020",https://stats.espncricinfo.com/ci/engine/match/1233464.html
Pakistan,Zimbabwe,Pakistan,8 wickets,Rawalpindi,"Nov 8, 2020",https://stats.espncricinfo.com/ci/engine/match/1233465.html
Pakistan,Zimbabwe,Pakistan,8 wickets,Rawalpindi,"Nov 10, 2020",https://stats.espncricinfo.com/ci/engine/match/1233466.html
New Zealand,West Indies,New Zealand,5 wickets,Auckland,"Nov 27, 2020",https://stats.espncricinfo.com/ci/engine/match/1233954.html
South Africa,England,England,5 wickets,Cape Town,"Nov 27, 2020",https://stats.espncricinfo.com/ci/engine/match/1237122.html
New Zealand,West Indies,New Zealand,72 runs,Mount Maunganui,"Nov 29, 2020",https://stats.espncricinfo.com/ci/engine/match/1233955.html
South Africa,England,England,4 wickets,Paarl,"Nov 29, 2020",https://stats.espncricinfo.com/ci/engine/match/1237123.html
South Africa,England,England,9 wickets,Cape Town,"Dec 1, 2020",https://stats.espncricinfo.com/ci/engine/match/1237124.html
Australia,India,India,11 runs,Canberra,"Dec 4, 2020",https://stats.espncricinfo.com/ci/engine/match/1223952.html
Australia,India,India,6 wickets,Sydney,"Dec 6, 2020",https://stats.espncricinfo.com/ci/engine/match/1223953.html
Australia,India,Australia,12 runs,Sydney,"Dec 8, 2020",https://stats.espncricinfo.com/ci/engine/match/1223954.html
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,"Dec 18, 2020",https://stats.espncricinfo.com/ci/engine/match/1233959.html
New Zealand,Pakistan,New Zealand,9 wickets,Hamilton,"Dec 20, 2020",https://stats.espncricinfo.com/ci/engine/match/1233960.html
New Zealand,Pakistan,Pakistan,4 wickets,Napier,"Dec 22, 2020",https://stats.espncricinfo.com/ci/engine/match/1233961.html
