Player,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Andre Russell,West Indies,Right hand Bat,Right arm Fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316615.png","A world-class seam-bowling allrounder from Jamaica, Andre Russell made his first-class debut at 19 and Test debut at 22, but it is as a T20 legend, sought after by every franchise league in the world, that he will be remembered."
Moises Henriques,Australia,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321588.png","Born on the Portuguese island of Madeira, Moises Henriques arrived in Australia as a baby and first played cricket with friends aged nine. He reached the pinnacle of his cricket journey in 2013, when he played three Tests on Australia's tour of India and became just the second Test cricket born in Portugal, after Dick Westscott, the South African allrounder of the 1950s. "
Dan Christian,Australia,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321572.png","Daniel Christian has become a global T20 gun-for-hire after spending most of his career in and around the Australia team without really earning a permanent place. An allrounder who can bat in the top six and provide a valuable extra seam option, Christian started at New South Wales, moved to South Australia and then shifted to Victoria ahead of the 2013-14 season. During that summer he was called into Australia's ODI and T20 sides and made the squad for the 2014 World T20 in Bangladesh. He had made his T20 international debut four years earlier and has since become a perennial winner at T20 tournaments. He has played for 16 different franchises in tournaments all over the world, making 11 finals and winning a staggering seven titles. He was Player of the Match in the 2018-19 BBL final for the Melbourne Renegades. "
Alex Carey,Australia,Left hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321551.png","As inaugural captain of the Greater Western Sydney Giants on their road towards inclusion in the Australian Football League, Alex Carey appeared to be a talent lost to cricket. But the fade of his Australian football career around his 20th birthday left him to fall back on the other sport that had competed for his junior attention, starting a road to becoming Australia's wicketkeeper across formats and also a vice-captain of the ODI side."
Ashton Turner,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321560.png","A tall and powerful right-hander, Ashton Turner clears the rope with deft placement, is a brilliant runner between the wickets, and has made a habit of chasing unlikely totals as a middle-order specialist in the BBL. "
Sohaib Maqsood,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316576.png","Middle-order batter Sohaib Maqsood made two fifties in his first two ODI innings, in 2013, against a South Africa attack that included Dale Steyn, Morne Morkel and Lonwabo Tsotsobe. "
Imad Wasim,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320451.png","Imad Wasim had been set to study medicine but the offer to play for the Pakistan Under-19 made him change his mind and since then there has been no looking back. Like many aspiring players from his country, he wanted to emulate Wasim Akram but he didn't have the pace his coaches were looking for. Still, the switch to left-arm spin has worked for him. A capable middle-order batsman as well, he was part of the Pakistan side that won the Youth World Cup in 2006, before captaining them in the next edition. "
Lewis Gregory,England,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323010.png","Lewis Gregory has maintained throughout his career that he is a batting - rather than a bowling - allrounder, and proved as much in the 2018 T20 Blast when he hit 328 runs at a strike-rate over 200, belatedly leading to an England call for the 2019 tour of New Zealand. A controlled seamer with red ball in hand, Gregory has become one of the most consistent performers in the county game, despite injuries plaguing him for much of his career."
Tom Curran,England,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323112.png","Tom Curran is a slick fast bowler with a deadly yorker, whose impressive performances as a youngster for Surrey quickly saw him earn international recognition as he debuted for England in all three formats as a 22-year-old."
Sheldon Cottrell,West Indies,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316693.png","Once a soldier in the Jamaican Defence Force, left-armer Sheldon Cottrell has been a semi-regular presence in the West Indies white-ball sides since he made his debut in 2013, and is known as much for his elaborate army-salute wicket celebration as for his bowling performances. He also offers athleticism in the field and powerful hitting in the lower order. "
Andrew Tye,Australia,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321558.png","A specialist death bowler and a clean-hitting lower-order batter, Andrew Tye is a valuable T20 asset, especially because of his ability to bowl the knuckleball. He only made his professional debut at the age of 26 and his T20I debut for Australia three years after. He took three hat-tricks in 2017 - against Brisbane Heat and Sydney Sixers in consecutive BBL seasons, and against Rising Pune Supergiant on his IPL debut. An elbow injury in November 2019 forced Tye to miss most of the Australian season and although he was picked in the limited-overs squad to tour England in 2020, he didn't feature in any of the games. In that time he worked on his action, which helped him gain a yard of pace. In the 2021-22 season, in which he didn't miss a single game, Tye became the first Perth Scorchers bowler to take 100 BBL wickets.
"
Jason Behrendorff,Australia,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321589.png","A left-arm bowler with good pace and the ability to swing the ball, Jason Behrendorff has come to prominence for Australia in limited-overs cricket as a new ball specialist. He was born in Sydney and raised in Canberra but has made his career with Western Australia after there during the 2009 off-season. He made his first-class debut in 2011-12 but his breakthrough season was 2013-14, when he finished second only to Steve O'Keefe on the Sheffield Shield wicket tally with 40 victims at 22.70. That season earned him a call-up to the Australia A squad for their four-day matches against South Africa in the 2014 winter. "
Kevin O'Brien,Ireland,Right hand Bat,Right arm Medium fast,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316572.png","Kevin O'Brien wrote his name into Irish cricketing lore with a magical innings against England on a balmy March evening in Bangalore. Entering the fray with his team 106-4 - and soon 111-5 - in pursuit of England's 327, he hit six huge sixes in a 50-ball century - the fastest in World Cup history - to set up a historic three-wicket win. It was the highest successful run chase in World Cup history and imbued new urgency into Ireland's claims for greater opportunities against Test-playing sides. Stocky and with his hair dyed pink, in aid of a cancer charity, O'Brien instantly became a poster boy in Ireland and beyond."
Beuran Hendricks,South Africa,Left hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322078.png","Beuran Hendricks hails from Belville Cricket Club in the Cape and was nurtured through the ranks in the province. He first represented them at the end of the 2010-11 season, when he was just 21. His ability to bowl at pace - in the 140s kph - and swing the ball was what caught the eye. "
Ben White,Ireland,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/339100/339163.png","Ben White was handed his T20I debut during Ireland's 2021 home summer and was picked in their squad for the T20 World Cup later that year. A tall legspinner who bowls quickly and fires the ball in flat, White was viewed as a potential long-term option to fill Ireland's wristspin void.ESPNcricinfo staff"
Prithvi Shaw,India,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322622.png","Prithvi Shaw shot to prominence as a 14-year old when he scored 546 off 330 balls, an innings that contained 85 fours and five sixes, for his school Rizvi Springfield in the Harris Shield, an age-group cricket tournament in Mumbai in 2013. Shaw's innings was then the highest score in school cricket. "
Krunal Pandya,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322614.png","Krunal Pandya, an allrounder and brother of Hardik Pandya, was drawn to the game as a result of his father Himanshu, taking his sons to the stadium in Vadodara when the cricket carnival came to town. The brothers started training at Kiran More's academy in the city. Krunal, who is seen as a limited-overs specialist, has played 4 List A games and 15 T20s for Baroda. However, he hasn't played since March 2015 due to a labral tear in his shoulder that required surgery. He did get picked up in the IPL auction by Mumbai Indians for INR 2 crores. "
Nitish Rana,India,Left hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323054.png","An aggressive left-handed batsman who bowls part-time offspin, Nitish Rana was one of the shining lights for Delhi in an otherwise dark 2015-16 season, which was plagued by off-field controversies. He struck 299 runs and 21 sixes - the most by any batsman in the tournament - in Delhi's run to the semi-final of the 2015-16 Syed Mushtaq Ali Trophy. Out of the 21 sixes, eight came in an innings of 97 off 40 balls against Andhra."
Sadeera Samarawickrama,Sri Lanka,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323069.png","In the longest format, Sadeera Samarawickrama is a dashing wicketkeeper-batsman who plays in the middle order. In limited-overs cricket, he has routinely set his teams off to fast starts as an opener. In any case, few school leavers of his vintage have made such a successful transition to the senior level. The national selectors have taken notice. "
Rahul Chahar,India,Right hand Bat,Legbreak Googly,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/331100/331166.png","Legspinner Rahul Chahar was a key member of Mumbai Indians' two IPL title-winning sides at the end of the 2010s. He took 28 wickets in the wins in 2019 and 2020, playing nearly all the team's games. The year after, fresh off two T20Is against England, when Mumbai had a middling season, he did just as well, taking 13 wickets and finishing as their second most prolific wicket-taker."
Thomas Blundell,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321315.png","An aggressive wicketkeeper-batsman with a variety of sweeps in his repertoire, Tom Blundell enjoyed a dream start to 2017. In the space of three days, he earned his maiden call-up to the New Zealand squad, as a replacement for the injured Luke Ronchi, for the third T20I against Bangladesh in Mount Maunganui, won the Super Smash - the national T20 tournament - with Wellington, and then received his maiden international cap from Corey Anderson. A couple of weeks later, Blundell was called-up to the ODI squad for the Chappell-Hadlee series at home against Australia."
Colin de Grandhomme,New Zealand,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319771.png","A bruising, broad-shouldered batsman, and a disciplined medium-pace bowler, Colin de Grandhomme left Zimbabwe for Auckland in 2006, before eventually finding his way into New Zealand's representative teams. Unsurprisingly, his first international foray was in the T20 format. Having earned a reputation as a heavy hitter in New Zealand's domestic T20 competition, de Grandhomme earned a debut against his native Zimbabwe in 2012. He did not sufficiently impress to keep his place on that occasion, but continued to flourish on the domestic circuit. "
Tom Latham,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316672.png","The son of former allrounder Rod Latham, Tom Latham played varied roles for New Zealand since his international debut at the age of 19. He batted in every position from No. 1 to 9 in limited-overs cricket, and also took on the responsibility of being a wicketkeeper. In Tests, however, Latham was primarily used as an opening batsman, and he quickly settled into a position New Zealand had trouble filling for years."
Henry Nicholls,New Zealand,Left hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319777.png","An aggressive, but organised left-hander from Canterbury, Henry Nicholls' burgeoning domestic form brought him to the notice of the New Zealand selectors, who called him up to the national team in the 2015-16 home season. Though he would earn a Test cap in February 2016, it was in one-day domestic cricket that Nicholls had largely made his mark, hitting 454 runs in the 2014-15 Ford Trophy at an average of 75.66, with strike-rate of 105.82. Consequently promoted to the New Zealand A team, he further outlined his value in a home series against Sri Lanka A, hitting two hundreds and a fifty in his three innings in the unofficial Tests, before averaging 84.50 in the one-dayers. "
Doug Bracewell,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321218.png","The son of Brendon and nephew of John, Doug Bracewell is a promising fast-bowling allrounder who confirmed his potential in only his third Test, taking 9 for 60 in Hobart to lead New Zealand to their first Test win in Australia in 26 years. His ability was noticed early as he was named, along with his cousin Michael, in New Zealand's squad for the Under-19 World Cup in 2010. While Michael hasn't cemented his Otago spot yet, Doug Bracewell was picked in the national squad at the age of 21, when New Zealand toured Zimbabwe in October 2011. He took four wickets in his first two Twenty20 internationals and three in his first two ODIs, impressing with his pace. A spate of injuries in the New Zealand squad led to a Test debut for Bracewell in Bulawayo, and he took six in that game to make a quick impact. The Hobart performance reinforced the feeling that Bracewell could be a vital cog in New Zealand's bowling wheels for years to come.ESPNcricinfo staff "
Ajaz Patel,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321200.png","One minute, he was sitting down to eat dinner with nearly 30 of his closest family. The next, he was being told that he was on the Test squad to play for New Zealand. Meet Ajaz Patel, a left-arm spinner who was, like many before him, a fast bowler growing up. "
Hamish Bennett,New Zealand,Left hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321226.png","Hamish Bennett, a strapping pace bowler, can probably count himself a little unfortunate not to have played more for New Zealand. Having played for the Under-19 side, he was handed his first call-up in 2010 - taking three wickets on his ODI debut against Bangladesh - and made his Test debut in the same match as Kane Williamson. They were contrasting affairs. While Williamson scored a century in Ahmedabad, Bennett bowled 15 wicketless overs before picking up a groin strain. It remains his only Test. With the white-ball he found more success. He did enough to earn a place in the 2011 World Cup squad, but after that it was three years until be played again. In two matches against India he was good enough to work over Virat Kohli, but it was a brief comeback as a series of niggling injuries hampered his progress. After a long stint with his native Canterbury he shifted north to Wellington and his career was revitalised with a superb 2017 season which earned him a recall to the national side
ESPNcricinfo staff"
Kamindu Mendis,Sri Lanka,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329900/329938.png","Though foremost a batsman who scores heavily square of the wicket, it is for his unique skill set with the ball that Kamindu Mendis had gained an international reputation long before he entered a national squad. He bowls finger spin with both arms, and does it with skill and accuracy - his offbreaks not quite as good as his left-arm orthodox, but not far off. Understandably, his potential has impressed coaches. In the age of T20, a bowler who can spin it away from both right and left-handers, not to mention employ different lines of attack to the same batsman, could potentially have team owners and data analysts drooling, so long as Kamindu continues to develop those skills. "
Lahiru Madushanka,Sri Lanka,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329900/329939.png","A tall, bustling right-arm seamer, and a powerful lower-order batsman, Lahiru Madushanka worked his way into the national team following several seasons of consistent domestic performances."
Kyle Coetzer,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316551.png","His name may sound South African, but Kyle Coetzer was, in fact, born in Aberdeen, Scotland. and he achieved history in 2015 when he struck their first hundred in the World Cup - his 156 against Bangladesh being the highest score ever made by a batsman from an associate nation."
Jade Dernbach,Italy,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322928.png","Jade Dernbach is a very modern cricketer. Earrings in both ears, tattoos covering each arm and words to accompany each delivery. His bowling is a merry-go-round of variations with slower-balls, quicker slower-balls, yorkers and bouncers as well as, crucially, an ability to touch 90mph. His variety, alongside a deep well of confidence that helps him hold his nerve, often at the most demanding times, made him a regular part of England's limited-overs teams for three years, although his penchant for over-exuberant celebrations - he has been known to run the length of the ground after getting wickets in dead first-class matches - have been widely mocked. "
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322436.png","Brad Wheal, a right-handed batsman and right-arm pace bowler, was born in Durban, South Africa but holds a British passport and moved to England with the encouragement of Hampshire's head coach at the time, Dale Benkenstein, who had spotted him playing for Natal Under-19. "
Ryan ten Doeschate,Netherlands,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322500/322586.png","Ryan ten Doeschate established himself as one of the finest cricketers ever produced by an Associate nation, winning the ICC Associate and Affiliate Player of the Year Award three times between 2008 and 2011. He was also a captain of the highest standing during his time in the county game with Essex, and he played five years for Kolkata Knight Riders in the IPL - the first Associate player to gain such a contract."
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/325900/325907.png","A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
Andri Berenger,Qatar,Right hand Bat,,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316670.png","Opening batsman Andri Berenger holds the distinction of being chosen to represent two different countries in World Cups: he played as a wicketkeeper-batsman in the Sri Lanka Under-19 side at the 2010 Youth World Cup in New Zealand and, five years later, was picked by UAE for the full World Cup. "
Ravi Rampaul,West Indies,Left hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320100/320111.png","Ravi Rampaul was an enduring, if sporadic, presence in and around the West Indies team for the first two decades of the 21st century. Tall, strong and well-built, he moved the ball both ways at brisk pace, and could bowl long spells. "
Mohammad Shahzad,Afghanistan,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320500.png","One of the most entertaining batsmen in the Associate cricket world, and one who never shies away from theatrically celebrating even the most mundane milestones, Mohammad Shahzad is a throwback player to a time when a bulging waistline would be excused by most coaches and selectors as long as it coincided with a bulging runs column on the scoresheet. Shahzad has proven his worth time and again with a series of thrilling batting displays, often producing his own version of the helicopter shot, and his fearlessness at the crease makes him one of the few Associate batsmen capable of standing toe-to-toe against Full Member opposition."
Shoaib Malik,Pakistan,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320470.png","There is almost no role in a cricket side that Shoaib Malik hasn't filled, so much so that over ten years into his career, nobody is sure what his precise and best role is."
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316660.png","It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered."
Hiral Patel,Canada,Right hand Bat,Slow Left arm Orthodox,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321270.png","A dashing, strokeplaying right-handed opener, Hiral Patel is one of Canada's rising stars and shot to prominence when his 61-ball unbeaten 88 set up a tight four-run win over a favoured Ireland during the Sri Lanka Associates T20 series in February 2010. It was the sort of innings he had put together more than once for the Under-19 side, and it was only a matter of time before Patel was given more chances with the senior national XI."
Xavier Marshall,United States of America,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/341800/341898.png","An extreme talent, in the field and with the bat, Marshall has a fiery temper and equally fiery tongue which, in early in 2005, caused him to be reported for bad behaviour during three away games, but West Indies are desperate for this talented batsman to fulfil his potential.  He made his ODI debut against Australia in January 2005 and, in June, he was named West Indies' Youth Cricketer of the Year. Test opportunities came in Sri Lanka in the same year but his results were disappointing and he disappeared from the national radar for several years. When he re-emerged it was for a surprise Test recall against Australia in Antigua in 2008 - a surprise because he had made only two half-centuries in Jamaica's successful first-class campaign in 2007-08.
Will Luke May 2008"
Ian Holland,United States of America,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/296600/296638.1.jpg","Unique is an over-used word but it is an appropriate way of describing Ian Holland's entry into county cricket which can be traced back to an appearance on reality television. In 2012, Holland entered the Australian show Cricket Superstar, in which  the former Australian captain Allan Border was the chief judge. He successfully made it through his trial before beating 14 other finalists on the show and winning a rookie contract with Victoria."
Ali Khan,United States of America,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321124.png","Few US players have had a more unusual path to international cricket than Ali Khan. Born and raised in Pakistan, he moved to USA with his parents at the age of 18, settling in Ohio. He was a regular in various private T20 cricket tournaments around the USA, but it wasn't until ICC Americas organised an open trial at Indianapolis in September 2015 that he gained wider attention on the national scene."
Delray Rawlins,Bermuda,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321109.png","Delray Rawlins announced himself as a future star with a series of eye-catching innings in Sussex's T20 middle-order, and his clean hitting, useful fingerspin and superb fielding make him a desirable all-round package across formats. "
Malachi Jones,Bermuda,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321120.png","Malachi Jones was just 17 when he played at cricket's grandest spectacle - the World Cup - in 2007 and although he was included in only one match against India he made an instant impact, dismissing Robin Uthappa with his first ball. While he had the leadership skills to captain his club team, Willow Cuts, to domestic honours in the 2006 Premier Two-Day League, Jones's occasional lapses of temperament have caused questions to be asked about his discipline and commitment. More of a batsman in his early youth, Jones has latterly focused on his bowling and his selection to the national side was based mainly on his skills in that area. He won the Best Young Player award at the end of Bermuda's domestic season in 2006 while his father, Olin, collected the award for best player. Jones made his senior one-day debut against Kenya in November 2006, playing at the World Cup and then joining Bermuda's Under-19 squad at the Under-19 World Cup in 2008. Part of Bermuda's squad for the Intercontinental Shield competition in 2009-10, Jones nevertheless struggled as his own performances mirrored that of his team.
Liam Brickhill September 2010"
Rodney Trott,Bermuda,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321123.png","Rodney Trott, an allrounder who bowls offspin and bats in the lower-order, made his first-class debut in an Intercontinental Cup match against Netherlands in 2006. Since then he has gone on to play one-day international cricket for Bermuda, making his debut against Kenya in October 2007. Trott was appointed captain of Bermuda's Under-19 squad for the 2008 World Cup. Cricinfo staff February 2008"
Saif Hassan,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323174.png","Saif Hassan is a compact opening batsman, whose appetite for batting for long periods in Bangladesh's age-group, domestic and representative cricket pushed him onto the international stage at the age of 21. Scores of 117 against Sri Lanka A and a double-hundred five days later in the domestic first-class tournament gave the selectors enough reason to pick him in the Test squad to play India, but he could not debut as expected in the second Test after injuring his right hand while taking a superb catch at gully as a substitute fielder in the first. "
Sarfaraz Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316592.png","Sarfraz Ahmed is a wicketkeeper batsman who could have meandered into irrelevance, as has been the case for many capable cricketers on Pakistan's domestic circuit. Instead, he became the first Pakistan captain since the great Imran Khan to win a 50-over world title. "
Lasith Malinga,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316539.png","One of the great limited-overs bowlers in his pomp, Lasith Malinga gained a reputation for delivering searing inswinging yorkers from a round-arm action as destructive as it was distinctive. That yorker, a deceptive slower ball, and an excellent bouncer formed the body of Malinga's menace, while the action made his deliveries hard to pick up. All that ability was also set off by street smarts; Malinga was rarely shy to switch up plans, and reshuffle fields. Even when batsmen thought they knew what was about to come, Malinga retained the capacity to surprise."
Manish Pandey,India,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323052.png","Manish Pandey will always be remembered as the first Indian to score a century in the IPL. In one night, the 19-year-old went from being Karnataka's next big Ranji hope to entering the record books as he hit his way to the highest Twenty20 score by an Indian. That century also meant he would not have to carry out his intention of following his father into the army if he did not make it as a professional cricketer."
Gary Wilson,Ireland,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316573.png","Gary Wilson, a staple in Ireland's side, also forged a solid county career with Surrey for more than a decade until he upped sticks and joined Derbyshire in 2016 as a growing number of rivals began to gain precedence both with the bat and with the gloves. He remained at the county for two seasons before being released from his contract a year early to return to his native Ireland and join the recently-established first-class system."
Colin Munro,New Zealand,Left hand Bat,Right arm Medium fast,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319772.png","A bruising left-hander with strong shots square of the wicket, Colin Munro has earned a reputation as one of New Zealand's most reliable big hitters. Having made his international debut in 2012, Munro was in and out of the limited-overs teams, until he hit a tournament-topping 366 runs at a strike rate of 175 in the 2015-16 Georgie Pie Super Smash. That run of form earned him a steady T20 place in New Zealand's top order. "
Ross Taylor,New Zealand,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316538.png","Ross Taylor has been a fulcrum of New Zealand's batting across formats for more than 10 years, a period that has brought consistent Test success, especially on home soil, and the appearance in consecutive World Cup finals. In the mid-2000s, he was just what New Zealand need in the wake of the mass of departures from their batting line-up: an aggressive top-order batsman capable of taking up the challenge to world-class attacks. In only his third ODI, Taylor hammered a superb 128 against Sri Lanka at Napier in 2006 and he followed it up with 84 at better than a run a ball in his first ODI outside New Zealand, at Hobart against Australia in January 2007. He scores heavily from the pull and from slog-sweeping the spinners (and sometimes the quicks)."
Tamim Iqbal,Bangladesh,Left hand Bat,,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316583.png","Tamim Iqbal was already one of Bangladesh's most assured batsmen at the time of his 21st birthday, and will be a vital component at the top of the order for years to come. His promise was apparent when, batting for the Under-19s against England at the end of 2005, he smashed 112 from just 71 balls to help Bangladesh cruise to victory. The left-hander is regarded as one of the most exciting prospects in Bangladesh cricket and is arguably the hardest hitter of the cricket ball in the country. His elegance and style through the off side is a treat to watch but his trademark shot is the straight drive, capped with a text-book like follow-through. "
